Date,TotalTransactions,TotalTradedShares,TotalTradedAmount,Open,High,Low,Close,Adj Close,Volume,Name
2021-12-29,3783,326139.0,477182107.7,1500.0,1500.0,1450.0,1500.0,1450.0,477182107.7,NABIL
2021-12-28,1841,170269.0,253737724.2,1500.0,1500.0,1479.2,1479.2,1479.2,253737724.2,NABIL
2021-12-27,2100,201767.0,306099202.3,1550.0,1550.0,1485.0,1550.0,1485.0,306099202.3,NABIL
2021-12-26,2197,209837.0,320749736.3,1570.8,1570.8,1506.0,1506.0,1506.0,320749736.3,NABIL
2021-12-23,832,51892.0,77043373.0,1499.0,1499.0,1471.0,1499.0,1471.0,77043373.0,NABIL
2021-12-22,945,79765.0,117845624.3,1492.0,1492.0,1455.0,1455.0,1455.0,117845624.3,NABIL
2021-12-21,734,98889.0,141804026.8,1452.5,1452.5,1423.0,1452.5,1423.0,141804026.8,NABIL
2021-12-20,888,58668.0,83678127.8,1439.9,1439.9,1412.0,1412.0,1412.0,83678127.8,NABIL
2021-12-16,786,43538.0,62466671.3,1460.0,1460.0,1421.0,1460.0,1421.0,62466671.3,NABIL
2021-12-15,1516,90423.0,132920768.8,1500.0,1500.0,1412.0,1412.0,1412.0,132920768.8,NABIL
2021-12-14,887,64277.0,90803695.9,1460.0,1460.0,1380.0,1460.0,1380.0,90803695.9,NABIL
2021-12-13,2116,130695.0,180359302.0,1421.0,1421.0,1364.0,1364.0,1364.0,180359302.0,NABIL
2021-12-12,1288,80982.0,115900522.0,1465.0,1465.0,1420.5,1465.0,1420.5,115900522.0,NABIL
2021-12-09,961,56323.0,81404391.5,1459.0,1459.0,1434.0,1434.0,1434.0,81404391.5,NABIL
2021-12-08,887,47379.0,69263114.6,1480.0,1480.0,1450.0,1480.0,1450.0,69263114.6,NABIL
2021-12-07,1006,60813.0,90741486.9,1514.0,1514.0,1475.0,1475.0,1475.0,90741486.9,NABIL
2021-12-06,1714,118177.0,171593128.0,1495.0,1495.0,1415.0,1495.0,1415.0,171593128.0,NABIL
2021-12-05,1681,108142.0,160550423.8,1514.0,1514.0,1471.0,1471.0,1471.0,160550423.8,NABIL
2021-12-02,1017,60311.0,91588100.7,1530.0,1530.0,1509.0,1530.0,1509.0,91588100.7,NABIL
2021-12-01,573,36610.0,55861135.0,1535.3,1535.3,1523.0,1523.0,1523.0,55861135.0,NABIL
2021-11-30,831,52965.0,80607814.9,1535.0,1535.0,1518.7,1535.0,1518.7,80607814.9,NABIL
2021-11-29,864,60022.0,91499906.8,1530.0,1530.0,1508.0,1508.0,1508.0,91499906.8,NABIL
2021-11-28,1294,85621.0,130596179.5,1538.0,1538.0,1520.0,1538.0,1520.0,130596179.5,NABIL
2021-11-25,961,64950.0,100167376.7,1550.0,1550.0,1535.0,1535.0,1535.0,100167376.7,NABIL
2021-11-24,808,54975.0,84660876.9,1550.0,1550.0,1527.0,1550.0,1527.0,84660876.9,NABIL
2021-11-23,964,62286.0,95971223.5,1550.0,1550.0,1532.0,1532.0,1532.0,95971223.5,NABIL
2021-11-22,1007,80745.0,124845767.5,1554.9,1554.9,1540.0,1554.9,1540.0,124845767.5,NABIL
2021-11-21,1112,75509.0,116771963.4,1565.0,1565.0,1538.0,1538.0,1538.0,116771963.4,NABIL
2021-11-18,1234,89460.0,138623591.7,1587.1,1587.1,1546.0,1587.1,1546.0,138623591.7,NABIL
2021-11-17,1323,99187.0,154429470.8,1570.0,1570.0,1548.0,1548.0,1548.0,154429470.8,NABIL
2021-11-16,1164,74044.0,115229721.7,1565.0,1565.0,1546.1,1565.0,1546.1,115229721.7,NABIL
2021-11-15,1537,104146.0,161517790.6,1576.0,1576.0,1540.0,1540.0,1540.0,161517790.6,NABIL
2021-11-14,1561,107590.0,166765368.9,1575.0,1575.0,1540.0,1575.0,1540.0,166765368.9,NABIL
2021-11-11,2636,199932.0,310857416.4,1580.0,1580.0,1540.0,1540.0,1540.0,310857416.4,NABIL
2021-11-09,2924,188332.0,298281752.5,1614.7,1614.7,1570.0,1614.7,1570.0,298281752.5,NABIL
2021-11-08,2738,186984.0,303329062.3,1660.0,1660.0,1605.0,1605.0,1605.0,303329062.3,NABIL
2021-11-03,7483,705430.0,1179786179.7,1740.0,1740.0,1640.1,1740.0,1640.1,1179786179.7,NABIL
2021-11-02,1174,131659.0,211786540.6,1650.0,1650.0,1594.0,1594.0,1594.0,211786540.6,NABIL
2021-11-01,1744,215086.0,340099480.3,1620.0,1620.0,1551.0,1620.0,1551.0,340099480.3,NABIL
2021-10-31,1838,176045.0,280317853.1,1629.9,1629.9,1573.0,1573.0,1573.0,280317853.1,NABIL
2021-10-28,1588,141749.0,227514050.7,1619.0,1619.0,1595.0,1619.0,1595.0,227514050.7,NABIL
2021-10-27,2534,270557.0,431931533.0,1620.0,1620.0,1559.0,1559.0,1559.0,431931533.0,NABIL
2021-10-26,2278,225327.0,347877019.5,1578.0,1578.0,1498.0,1578.0,1498.0,347877019.5,NABIL
2021-10-25,949,78485.0,116525820.8,1500.3,1500.3,1470.3,1470.3,1470.3,116525820.8,NABIL
2021-10-24,791,54884.0,80712397.3,1479.0,1479.0,1462.0,1479.0,1462.0,80712397.3,NABIL
2021-10-21,865,65682.0,96418376.7,1480.0,1480.0,1447.0,1447.0,1447.0,96418376.7,NABIL
2021-10-20,774,65244.0,94805048.2,1479.0,1479.0,1430.0,1479.0,1430.0,94805048.2,NABIL
2021-10-19,1093,77881.0,111382423.0,1450.0,1450.0,1420.1,1420.1,1420.1,111382423.0,NABIL
2021-10-18,911,67707.0,98998518.3,1482.0,1482.0,1448.0,1482.0,1448.0,98998518.3,NABIL
2021-10-17,795,56389.0,83267214.7,1507.0,1507.0,1465.0,1465.0,1465.0,83267214.7,NABIL
2021-10-11,1430,118043.0,171385318.3,1503.0,1503.0,1439.9,1503.0,1439.9,171385318.3,NABIL
2021-10-10,1074,77855.0,114755872.1,1500.0,1500.0,1462.6,1462.6,1462.6,114755872.1,NABIL
2021-10-06,885,57353.0,82656811.9,1453.0,1453.0,1410.0,1453.0,1410.0,82656811.9,NABIL
2021-10-05,684,44358.0,62216475.8,1410.0,1410.0,1394.0,1394.0,1394.0,62216475.8,NABIL
2021-10-04,804,60200.0,83897360.6,1407.0,1407.0,1370.0,1407.0,1370.0,83897360.6,NABIL
2021-10-03,858,55819.0,78068846.3,1429.9,1429.9,1393.0,1393.0,1393.0,78068846.3,NABIL
2021-09-30,695,47037.0,66324708.4,1419.0,1419.0,1401.0,1419.0,1401.0,66324708.4,NABIL
2021-09-29,759,58596.0,81901279.3,1420.0,1420.0,1379.0,1379.0,1379.0,81901279.3,NABIL
2021-09-28,1306,86659.0,120745318.6,1415.0,1415.0,1380.0,1415.0,1380.0,120745318.6,NABIL
2021-09-27,778,47830.0,67613766.6,1435.0,1435.0,1403.0,1403.0,1403.0,67613766.6,NABIL
2021-09-26,1358,116113.0,167255276.4,1465.0,1465.0,1427.0,1465.0,1427.0,167255276.4,NABIL
2021-09-23,1449,136670.0,197580382.7,1455.0,1455.0,1430.0,1430.0,1430.0,197580382.7,NABIL
2021-09-22,1058,79284.0,111996296.9,1425.0,1425.0,1400.0,1425.0,1400.0,111996296.9,NABIL
2021-09-21,2131,148677.0,205606794.6,1415.0,1415.0,1345.0,1345.0,1345.0,205606794.6,NABIL
2021-09-20,1985,132043.0,184440763.7,1440.0,1440.0,1380.0,1440.0,1380.0,184440763.7,NABIL
2021-09-16,1621,108701.0,154238803.7,1440.0,1440.0,1408.0,1408.0,1408.0,154238803.7,NABIL
2021-09-15,609,37192.0,53826948.5,1470.0,1470.0,1440.0,1470.0,1440.0,53826948.5,NABIL
2021-09-14,693,46726.0,68300810.8,1473.0,1473.0,1445.0,1445.0,1445.0,68300810.8,NABIL
2021-09-13,1017,210616.0,307356782.3,1482.0,1482.0,1440.0,1482.0,1440.0,307356782.3,NABIL
2021-09-12,943,75225.0,107395777.5,1447.0,1447.0,1410.0,1410.0,1410.0,107395777.5,NABIL
2021-09-09,1009,70348.0,99403841.1,1420.0,1420.0,1410.0,1420.0,1410.0,99403841.1,NABIL
2021-09-08,927,59583.0,84171412.7,1430.0,1430.0,1404.0,1404.0,1404.0,84171412.7,NABIL
