Open,High,Low,Close,Volume
1362.0,1362.0,1288.0,1362.0,122580938.0
1300.0,1300.0,1280.0,1280.0,136905125.0
1304.0,1304.0,1284.0,1304.0,166378689.0
1312.0,1312.0,1290.0,1290.0,152289144.0
1315.0,1315.0,1300.0,1315.0,120626628.0
1340.0,1340.0,1303.0,1303.0,124161732.0
1374.0,1374.0,1295.0,1374.0,145074489.0
1330.0,1330.0,1301.0,1301.0,231095878.0
1312.0,1312.0,1300.0,1312.0,185765969.0
1326.0,1326.0,1299.0,1299.0,172770018.0
1380.0,1380.0,1289.0,1380.0,195552154.0
1321.0,1321.0,1307.0,1307.0,158473396.0
1350.0,1350.0,1308.0,1350.0,195221413.0
1374.0,1374.0,1320.0,1320.0,257492740.0
1321.0,1321.0,1255.0,1321.0,228712428.0
1356.0,1356.0,1265.0,1265.0,77956161.0
1295.0,1295.0,1265.0,1295.0,141497601.0
1312.0,1312.0,1282.0,1282.0,159328671.0
1316.0,1316.0,1294.0,1316.0,117818379.0
1302.0,1302.0,1282.0,1282.0,140316676.0
1329.0,1329.0,1286.0,1329.0,112333749.0
1377.0,1377.0,1310.0,1310.0,167976810.0
1313.0,1313.0,1275.0,1313.0,139688703.0
1340.0,1340.0,1282.0,1282.0,85226904.0
1373.0,1373.0,1290.0,1373.0,135522514.0
1373.0,1373.0,1304.0,1304.0,95638111.0
1320.0,1320.0,1299.0,1320.0,135830004.0
1300.0,1300.0,1265.0,1265.0,212568856.0
1270.0,1270.0,1260.0,1270.0,96345911.0
1275.0,1275.0,1259.0,1259.0,119497170.0
1274.0,1274.0,1256.0,1274.0,120585084.0
1273.0,1273.0,1255.0,1255.0,85094464.0
1274.0,1274.0,1250.0,1274.0,118890219.0
1273.0,1273.0,1260.0,1260.0,76446838.0
1290.0,1290.0,1265.0,1290.0,85611634.0
1299.0,1299.0,1271.0,1271.0,102358119.0
1304.0,1304.0,1275.0,1304.0,151495839.0
1295.0,1295.0,1265.0,1265.0,119686326.0
1275.0,1275.0,1257.0,1275.0,96099923.0
1300.0,1300.0,1249.0,1249.0,107381191.0
1280.0,1280.0,1231.0,1280.0,135780240.0
1281.0,1281.0,1230.0,1230.0,195335290.0
1361.0,1361.0,1255.0,1361.0,209782404.0
1307.0,1307.0,1280.0,1280.0,162253957.0
1380.0,1380.0,1290.0,1380.0,142693430.0
1344.0,1344.0,1305.0,1305.0,158259673.0
1345.0,1345.0,1310.0,1345.0,187822369.0
1370.0,1370.0,1330.0,1330.0,233421412.0
